Erie,42.0426,-80.0735,314,24464.46,43.6
Albany,42.6773,-73.7868,314,26086.46,87.5
Paramus,40.9153,-74.0518,314,26643.11,68.2
Williamstown,39.7005,-75.0043,313,23417.52,68.7
Milford,42.1497,-71.5058,313,25602.25,91.3
Bohemia,40.7589,-73.1055,313,24975.44,61.2
West Springfield,42.1423,-72.6268,313,28634.65,51.5
Avenel,40.5945,-74.273,312,22819.22,43.9
Egg Harbor Township,39.4371,-74.6167,312,20540.85,150.1
Temple Hills,38.8307,-76.9412,312,24948.33,21.8
Westborough,42.2826,-71.6585,311,28110.06,60.9
Westborough,42.2832,-71.6424,311,26460.52,71.6
Grand Rapids,42.8731,-85.5487,311,27880.71,113.2
Plymouth,41.3623,-86.3289,311,28659.08,36.1
Victor,42.9744,-77.3776,310,16995.27,42.0
Mendon,42.1503,-71.506,310,30226.26,60.3
Wickliffe,41.6007,-81.4817,310,25483.96,56.2
Savoy,40.0741,-88.2484,309,25650.81,41.1
West Warwick,41.681,-71.5003,309,26419.12,96.6
Freehold,40.279,-74.2956,308,26712.14,42.3
Bronx,40.8855,-73.829,308,24076.19,73.5
Kalamazoo,42.2721,-85.6272,308,29320.06,112.8
Muncy,41.1517,-76.9138,308,30120.93,80.9
Mechanicsburg,40.2458,-76.9996,307,30671.04,27.3
Burlington,42.493,-71.194,307,52908.29,117.0
Manchester,42.9534,-71.4412,307,25643.64,78.1
Woodstock,42.2961,-88.4332,307,33217.73,85.6
Tinley Park,41.5474,-87.7853,306,22963.37,13.7
Cambridge,42.3839,-71.1417,306,26749.98,101.8
Rochester,43.1019,-77.629,306,36760.92,117.3
Toms River,39.9572,-74.1692,306,25001.71,57.3
Holly,42.7851,-83.5479,306,34556.06,113.1
Watertown,42.3641,-71.1692,305,40445.12,53.6
Naperville,41.7757,-88.1847,304,30971.46,74.4
Freehold,40.2791,-74.2945,304,24500.89,48.7
Brockton,42.0557,-71.0665,304,31593.89,81.7
Tewksbury,42.626,-71.2686,304,27264.8,35.6
Warminster,40.2108,-75.1068,303,33592.5,75.1
Paramus,40.947,-74.0721,303,40734.96,102.6
Chicago,41.9236,-87.7947,303,23930.7,81.9
Maple Shade,39.9435,-74.9745,303,35184.66,77.1
Painesville,41.6876,-81.2902,302,36072.62,57.4
Alliance,40.9019,-81.1362,302,25521.82,42.7
Ramsey,41.0442,-74.1157,302,42817.91,62.6
Lansing,41.5729,-87.5589,302,24775.49,89.9
Middle River,39.3577,-76.4487,300,40026.33,57.3
Yorkville,43.1133,-75.292,300,25628.58,33.7
Mt Laurel,39.9221,-74.9478,298,46441.67,65.8
Littleton,42.5453,-71.4705,298,28099.96,46.6
Raynham,41.9039,-71.0073,298,26916.32,58.9
Berlin,44.2192,-72.5642,297,26419.6,32.4
Fayetteville,43.0357,-76.0172,297,31882.29,166.4
Buffalo,42.9948,-78.6973,294,31586.57,75.7
South Portland,43.639,-70.3346,294,25150.54,46.1
Palatine,42.1398,-88.0098,294,38649.35,93.9
Waterbury,41.5867,-73.0806,294,22743.56,52.1
Lake Orion,42.7265,-83.2432,294,30797.31,83.8
North Brunswick,40.4445,-74.5004,293,39507.22,134.7
Cherry Hill,39.9236,-75.044,293,51170.69,92.2
West Caldwell,40.8552,-74.3115,293,26599.6,70.9
Wheeling,42.1396,-87.9328,293,25449.9,122.8
Avon,42.116,-71.0303,292,21059.03,59.3
Lockport,43.1235,-78.6917,291,28192.97,49.9
Clifton Park,42.8778,-73.774,291,35116.52,122.9
Dillsburg,40.1269,-77.0234,290,26477.06,60.8
Greenwich,41.0234,-73.6375,290,190192.09,128.5
Baltimore,39.4,-76.5517,290,39978.53,99.4
Braintree,42.2254,-71.032,290,40894.48,150.2
Allentown,40.5687,-75.548,289,25417.68,28.5
Elizabeth,40.6528,-74.2151,289,17471.97,317.6
Mount Laurel,39.9172,-74.9447,289,25899.69,39.6
Branford,41.2787,-72.845,289,27873.18,67.6
Mchenry,42.3271,-88.2758,288,34005.1,71.1
Brooklyn,40.6342,-74.0152,288,43404.99,78.0
Old Bridge,40.3807,-74.3081,288,36093.81,71.9
Reading,40.306,-75.9766,288,32528.64,92.7
Arlington,38.8965,-77.1079,287,26461.2,67.9
Verona,40.8253,-74.2311,287,36428.93,41.9
Ramsey,41.0673,-74.1336,286,30652.33,36.1
Colmar,40.271,-75.2597,286,29735.77,93.4
Brooklyn,40.6178,-73.9452,285,21394.36,23.8
Scotia,42.8088,-73.9363,285,21248.25,22.3
Youngstown,41.1009,-80.7415,285,36939.12,66.9
Youngstown,41.0013,-80.6339,285,9389.24,198.6
Nashua,42.7284,-71.4454,285,36344.56,51.8
Norwood,42.1749,-71.1936,284,29276.14,72.0
Erie,42.1169,-80.0769,284,32906.58,74.7
Elmhurst,41.919,-87.9564,283,48587.35,117.2
Sunbury,40.8716,-76.7855,281,27310.77,106.4
Nashua,42.7806,-71.5005,281,24179.37,30.6
Baltimore,39.2959,-76.5085,281,21262.4,104.8
Fenton,42.7898,-83.7291,281,27227.42,75.6
Carlisle,40.2225,-77.1603,280,26187.21,51.1
Budd Lake,40.8529,-74.7827,280,33448.4,44.3
Huntington,40.8325,-73.3604,280,62165.44,187.0
South Holland,41.5991,-87.5826,279,20894.68,108.7
Brooklyn,40.6366,-74.0192,278,25799.01,106.3
New Rochelle,40.9177,-73.7684,276,25653.57,51.4
Wilkes Barre,41.2548,-75.8391,276,24212.26,18.4
Endicott,42.1068,-76.0334,276,33139.24,38.0
Framingham,42.2986,-71.4467,276,30961.91,29.3
Geneva,42.8568,-77.0189,276,39398.93,109.6
Wayne,40.9452,-74.273,275,27468.88,69.2
Burlington,44.4559,-73.2085,275,26015.13,26.5
Lafayette,40.3896,-86.9061,275,22874.59,28.9
Westwood,42.2142,-71.183,275,40299.46,44.9
Souderton,40.3091,-75.3564,275,37112.75,62.9
Chicago,41.759,-87.683,274,21695.39,133.3
Parsippany,40.8584,-74.3554,274,71365.39,149.7
Matteson,41.5011,-87.7435,274,21896.01,158.2
Englewood,40.8946,-73.9717,274,42787.32,52.7
West Roxbury,42.2687,-71.1725,273,26604.67,64.4
Lowell,42.6288,-71.3561,273,35025.53,97.3
Bethesda,38.9878,-77.0949,273,39266.86,69.0
Lowell,42.6273,-71.3574,272,38640.32,98.2
